ticker,questions_asked,answers
drreddy,"Can you elaborate a bit more, whether you're seeing a lot of supply opportunities emerging in the market due to problems at some of the competitors?","So it's a combination of timing of RFPs, combination of set of situation that happen to products in which we could supply more, not necessarily a supply shortage, but it could be service or other supply disruption situation that happens, and also activities that we did with certain customers as well. So overall, let's say, it's primarily volume-based growth that's based on the agreements that we have with customers."
drreddy,"So biosimilars, you mentioned. Can you talk about update in your global portfolio, which is for all the markets where you're focusing?","So biosimilars is a global initiative for us. We are planning to be in all the markets, including the United States with our portfolio. We are working on about 11 biosimilars, as we speak, in that -- some will be launched before 2030 and some after 2030, starting probably in the beginning of 2027."
drreddy,Can you just talk a bit more about what led to the growth seen in Russia and how sustainable this growth is?,"We -- in Russia, we grew, part of it is seasonal. We have most of our businesses in the retail, and we are also playing in the biosimilars. So, in this specific quarter, we enjoyed the seasonality of the allergy as part of it as well as the growth of the big brands there. We -- I believe that the growth momentum will be in Russia. In that respect, the combination of investing in our brands and enjoyed the growth momentum that comes from the relevant products that we have, plus a good defence on the ruble helped us to achieve these results."
drreddy,What is the kind of size that we would have seen this quarter out of that?,"So indeed, our base business did well even without Lenalidomide. Mayne, we closed the deal. In practical, it started to sell in the end of April. And we are actually launching product after product through this period of time. I believe that the main pickup will be in the next coming months, when customers will open their bids and we will be able to bid more."
drreddy,Is it fair to believe this is the kind of first year number and we should see a progressive improvement in the volume share going ahead?,"So, you know, we cannot share a specific number on these products. We are in agreements in which this volume..."
drreddy,"If I look at the number that we reported in fourth quarter and strip out the brand divestment, based on that, we've seen a pretty sharp increase on that base in the first quarter. I know you talked about a bunch of initiatives, but how should we look at growth in this business from the high single-digit that you pointed in your opening remarks?","The trade generic did not yet contribute much because we just recently launched it. And so, most of the growth happened from our branded generics, our key brands that we are focusing on. These trends are likely to continue also throughout the year and actually going to improve."
drreddy,We're seeing a lot of Dr. Reddy's name in terms of shortages of products in US. Are you seeing some opportunities meaningfully for us overcoming few quarters or are you planning to participate in some of them which could be potentially large for us?,"We do from time to time, but to be honest, I don't feel joy, when we are growing on the expense of others. I actually want the supply to be there for the patients. So, whenever it comes, we are taking it. But I don't see such a strategic growth lever. I'm happy to supply, if it helps patients, but actually wish that all the companies will be able to sell normally and not to see such a little growth, but it is coming to us as well from time to time."
drreddy,"And just on extending to your launch aspects or other two products if you'd like to call out, which would be interesting launches over the next 12 months to 15 months in North America segment?",I don't want to call out specifically. We're trying to avoid it because after that we have a lot of discussion on this product. But what we can say is that we believe that we can sustain also the level of activities in North America even post lenalidomide because we have quite a few of very high-value products if we can bring to the market.
eichermot,"can you talk about the divergence in margin performance versus the mix? So, we had lower share ofexports and higher share of Hunter, but still margins have improved quite substantially. What has driven this margin on a YoY or QoQ basis?","
So basically, margins have gone up about 1.5%, which is the impact of price hikes that we had taken on May 1, that is flowing through the margin. Apart from that, about 0.8% is on account of the savings in sourcing costs, which we talked about last quarter as well. And of course, the international mix is therefore weighing down, so that's essentially making up the overall growth in margin."
eichermot,"Is there anything related, which is causing the downward pressure there? ","It's a little bit of a timing issue as well because we don't really, I think our marketing campaigns, launch expenses have really not kicked into high in this particular quarter. And we've also had a little bit of travel expenses, which are a little bit muted right now."
eichermot,"If you can just help us understand how are we doing on the whole non-vehicle ambit, which is basically our accessories or spare parts revenue, all of that?","In this quarter, it has almost about 25% growth compared to last year, and it has been growing very well. Our accessories, we are adding SKUs more. Our accessories actually for the existing motorcycles, anyway it is during the consumer journey, it goes through the MiY page. And then he can configure that against styling, safety, comfort, that's what the vertical which we give it in the motorcycle accessories. But also for the motorcycles which were sold about three years back, all the old motorcycles for that also we brought in a configurator where the consumer can actually build the motorcycle accessories even in his motorcycle. And to order that that is also enabled and that is also working. At our service area also, we are opening. Spare parts, we are looking at more than in a revenue stream, which is very good incidentally, we look at it from a consumer satisfaction angle, Pramod, because we always look at even the last washer, it should be available at any point of time at any place when it is required."
eichermot,can you also talk about the cost outlook and how much price increase we have taken in the second quarter?,"Yes. So, I think we don't necessarily talk about our cost outlook per se. But I think in the first quarter, we have taken about a 1.5% price increase in certain models, the impact of which will flow into the second quarter."
eichermot,"When can we expect the next motorcycle like Bullet 350 and all, because the media reports that it is supposed to be in August end or something. So, can you give some sense on the near-term launches? At least the timeline?","Here and now Bullet we have sent you, the media invite and block the dates and all, so that launch is now planned. My mind is fully on that, how we celebrate and enjoy the Bullet's legacy and what it has brought us here. But as Siddharth was mentioning, we have a slew ofnew products in all the categories, which we are working on. We will come with more and more new products, and we'll give you the details when we are coming closer to the launches, Hitesh."
eichermot,"irstly, on exports, you guys talked about the macro weakness that's impacted the volumes. 1\vo-part question essentially, how we should then think of the full-year FY24 outlook for exports. And beyond the near-term also, if! have to think about exports, I mean where does the growth come from? Is it market share? Is it category expansion? How should I think about it?","Market share, it's a derivative Gunjan to be honest, because we normally don't look at only the market share. But in a market which is already existing, and our brand is getting accepted more and more, I can't give you a direct answer of where exactly the numbers ofinternational markets will be. But I will tell you where the brand love is. I think I mentioned to you also that we were looking at a rider community in Europe. It's almost about some 17,000, 18,000 people signed up for it. So that's the product love, which is coming up and the brand love coming in. And we have, mind you, we have only about 1,000 retail outlets as of now outside India and there is a huge potential, which is there for us to grow. But we are not doing just like that, because we have to take the macro conditions of the particular market now. We have to be careful about not loading the dealers. So, we wanted to do it in a systematic form, so that the ecosystem is also profitable. So, we are slowly opening up, and there are enough prospects which are cleared up for all the markets. So, the reach is going to be one major lever for the international markets in time to come. And all the new products which are going to come one after the other, because Royal Enfield nowadays are making only the global products. It is not country-specific like earlier times. All those products also will create their own category in that market."
eichermot,"Great scale up that we've seen in the last one year. And I mean, I remember maybe the last conference call or prior when you had mentioned that there's a lot more opportunity for Hunter to still scale up, given that the volumes are now at 16k-17k units a month. Do you still see there are some gaps where this model can scale up from the current run rate to say, 20k-25k. I mean I'm not trying to get a number, but directionally trying to understand the potential ofthis model from where it is right now? Or you think it's matured?","Look, I think for a product, one can't send it has come to the maturity level, Gunjan. Obviously, I'm not going to give you the number exactly as you said. But I'll tell you directionally. Hunter, what is this product, once again, to give a clarity to everyone is that people love the Royal Enfield brand. They wanted a product which is a bit more different and agile, and it should be nimble, and he can relate to the product. And compared to the other products it can be slightly at a lower weight. That's where we thought that we should bring it to the younger audience. And what we wanted from that product exactly is what it landed into the hands ofconsumers. And that's why I mentioned when the metros started taking young guys, now the rural areas are also now started taking on the Hunter. International market, not that the Hunter is available in all the markets, even in a few markets, we are just opening up. So, the Hunter as a franchise overall is growing for Royal Enfield. We see there's a huge potential for the Hunter in time to come."
eichermot,he sale ofabove 250cc motorcycles has increased to 8% of industry versus 2%-3% 10 years ago. How would the share increase over the medium to long-term? Andwhat would be the share ifyou take the top 10 cities or some ofthe urbanized states?,"So as we mentioned in an absolute number, let us go through it. It is from 50,000 at one point of time to almost a million motorcycles. That's the growth over the decade. From here where do we see it, our understanding is that there are enough disruptions, which are taking place. But especially ICE vehicles in the premium segment, it is going to continue to grow. In that growth, the overall volume will grow and because we have enough new products, which are coming in and our own activities which we are doing and working with the community, we'll also see our numbers going up"
eichermot,ny specific on how is the U.S. marketperforming for us as it's been one ofthe largest markets? ,"We are taking on our own the entire market activity, development activities from the distributor. Directly, we are going to do that, signing up the dealers. So that's also a transition which is taking place. In all those markets, as ofnow, the market is not growing. It is slightly opening up, that's where it is. But the good thing which is happening is as the retails are better. Our market share, we are marginally gaining or holding on to the market share. So, we are not losing out on anything. In my understanding, some of the markets will open up in another about five, six months' time. That's where I see it will open up. It's only once again, readings and personal understanding of this. There's no signs to say that this country will open up by this particular point of time. So, we will only be looking at consciously loading into those markets. But we have a lot ofnew products which are going to come and that new products are going to get us new consumer eyeballs into those. And that's how we are seeing, there is a huge growth potential which is possible for us. We have almost 1,000 retail outlets outside India. We are focusing on increasing those retail outlets in all the markets, but we will not rush ourselves. We will go systematically, because we always look at it, it has to be credible over a period oftime that shouldbe a pull brand."
eichermot,"See, the waiting times on all your models range from one month to six months. What is the cause for that? Are we rurming overcapacity? Or how do you see it? Is there a shortage ofparts?","Not really, Ritesh. What happens is every product when we come out with a business case, vis-a-vis what is the market acceptance and numbers, all our products have positively surprised us in a way. So, we have put something as a capacity, and then we started looking at it. The market response has been very good. So, there is a lead time, which is required to come back and then give that extra need, which is there in the market. So that's the capital which we have to keep putting it in product-after-product. Most of our products are as of now, about three, four weeks times and barring a few products for which also we have already started the action. So that will take care ofthe supply situation for those products."
grasim,"So, if you can give detail which all areas we are seeing cost dictation? ","So, on the first side, obviously, the main cost items where we have seen reduction are pulp prices, caustic prices and coal prices. So, all the important input prices have come down compared to last year significantly and also compared to the last quarter. So, that is a very positive trend. Looks like the input prices do not have much further room to go down, but we have to see. It all depends on the macro level situation and especially in China. So, China now is going through very difficult phase. Today newspapers everybody read that China is going through deflationary pressure. So, we have to see how the government and the Chinese economy perform in the coming months and that will determine the input prices all over the world."
grasim,"for the Paint division, should we expect a large part of our ₹10,000 crore CAPEX to be concluded by FY’25 given that FY’24 also is a very significant CAPEX for the presentation?","Yes. So, you can assume that. So, a large part of CAPEX will be done by FY’25."
grasim,"the B2B ecommerce, there is low CAPEX what we are spending this year, is there any other indirect way of financing in terms of working capital etc., being absorbed in that business?","No, there is no in that as of now I think and CAPEX is, see, it is not a CAPEX intensive business. We have spent on the technology side, and of course, we will have to continue to spend on technology. So, that is all for CAPEX."
grasim,"the peak of CAPEX will be this intensity only in a particular year or coming years FY’25, '26 you see further increasing CAPEX from what we are spending in FY’24?","So, for the Board approved CAPEX numbers, if you look, this is I think one of the highest spending year, current financial year. For the next financial year, we will have while the pending CAPEX of Paints business for the next financial year, we will have proposals to go to the Board and get Board approval etc. So, for next financial year, it is very difficult to say about the numbers, but as of now, yes, this year looks like CAPEX heavy year."
grasim,"if we see our ECU realizations in Q1, they have been far better than the other players' reported numbers in the caustic chlorine division. So, just wanted to have your thoughts here that was there any specific reason for our ECU realizations higher than our peers?","So, I think the reason is that, I think, tactically, we played couple of moves better than some of our competitors. From a long term, if you say, was there any strategic shift? No, I think the difference was that our back, what we call our chlorine derivatives compared to Q4 of last year to Q1 of this year, our volumes have materially gone up. And other than that, it was, I guess, more day-to-day active management."
grasim,what proportion flakes forms in terms of our total sales volumes for caustic soda division?,"So, flakes form to the tune of around 20% to 25% of our total caustic line production."
grasim,"assuming that there is a further fall or a downslide in India prices, will margins hold at these levels because your pulp prices and caustic prices is going down further or you can see some directionally, some pressure on margins in the coming quarters on VSF?","Yes, you have summed up it almost correctly. So, there will be some pressure, but it is all very marginal. There are not big movements either way. So, yes, prices, the international prices have reduced since end of June, and we also have to follow that trend in India also, and there is some reduction in the raw material prices also, but everything moves. There are so many moving parts, and we have a pipeline in the transit of raw materials and all these things. So, there will be small difference whatever way it is, yes."
grasim,"I mean, give or take few basis points here or there, but these margins are largely bottomed out?","We would like to think so. Yes. And you never know. You know, there are always surprises from China or sometimes Europe like the things change so fast. Within one-month things can change. Global sentiments can change. Anything that happens has its effect on everything, but largely, yes"
grasim,"recently, there were some news articles about spinning mills like seeing some shutdown or temporary closure in Tamil Nadu or the textile hubs, so does that impact our volume outlook in any way?","See, globally textile markets are not doing great including in India and not just in viscose, but across all kinds of products, all kind of things, whether it is cotton or polyester or linen or viscose. So, this is a global trend and exports from India have also declined Q-o-Q also and Y- o-Y also. So, everything is under a little bit of slow down."
grasim,"So, there can be some hit on volumes is what you say from the current quarter like we did a pretty healthy utilization of (+90%). So, are we expecting some fall?
","Yes, we are trying our best to maintain the volumes and also try to get more volume in export market. So, we try to maintain our volume as best as possible."
hcltech,"Just curious about how you're seeing this playing out in the marketplace in contracts. Given you have a high participation in some of the cost takeout deals, maybe on the cloud side,
is this showing up in discussions as a source of price deflation that maybe you or competitors are driving and hence might impact your contract profitability going forward?","I don't see anyone trying to take the contractual position of how much we have to deliver through this technology because there are too many dependencies. So I think, there is definitely a lot of hype in the short run, but we do believe it will have some meaningful benefits in the long run."
hcltech,"what is the kind of a tailwind that you'll get from profitability through possibly, change in the compensation revision cycle for this year?","I don't want to really talk numbers on that, but E4 and above is a significant portion of the wage bill. I don't want to get into exact numbers, but like I said at the press conference also - we have made a plan. We have revised that plan based on the numbers that we see for Q1. Obviously, we have revised it by baking in more actions and more cost cutbacks that we need to do. I think, the leadership team is all apprised of the situation. The numbers gap is obviously visible to all of us and everybody. I think as a leadership team, we are committed that we will take the actions to meet the numbers."
hcltech,"what was the one-time benefit in the intangible
amortization? Is it worth, how much basis point in this quarter and will it reverse in the second
quarter?","No, so it will certainly not reverse in the second quarter. It is a one-time benefit. This is the
impairment, we had taken a couple of years back in one of the products. And the product has
done well in the last two years, and we have been able to increase the royalty we get on that. So
the revenues are significantly up; therefore, as per the accounting rules, we needed to write it
back - write the impairment back. So, it's just a one-time benefit in this quarter and there are no
repercussions on any of the next subsequent quarters."
hcltech,what type of orders are we taking into ER&D segment?,"We are seeing two kinds. One is
consolidation in each of the Tech and Telecom segments. We are seeing more consolidation
deals, and hence a pipeline that is growing. To what CVK said earlier, that is helping us gain
more confidence that, when these deals fructify, realization to revenue will be quicker. So that's
one we are seeing that consolidation is on. The second we are seeing is decision-making, which
used to be reasonable, is getting a little delayed. Those are two trends we are seeing in terms of
pipeline and order booking"
hcltech,"While my question on the ER&D outlook essentially has been
answered, just wanted to understand, your hiring plans in the backdrop of some of the near-term
challenges that you've seen?","I think our hiring plans, quarter-on-quarter, we do moderate our plans to be in line with our
forecast for the quarter, the revenue forecast for the quarter. Next quarter is typically the quarter,
where the fresher intake will be higher. So that will continue as planned. So, basis that, we will
moderate our requirements for lateral hires."
hcltech,"last quarter you had shared that the ACV for the year was plus 4% year over year. What is
it on a TTM basis at the end of 1Q?","I don't have a number on a TTM basis, but for the quarter, it is 21% lower year-on-
year."
hcltech,"is it any different from a sub-vertical perspective or this
is an overall thought process that you see?","No, the Tech and Telecom part of our ER&D business, which got impacted quite a bit, like we've
been talking about, those we see conversion and we see back to growth situation in it."
hcltech,"CVK, the question is around the verticals of Tech and
Telecom. You talked about uncertainty. So, was this largely deferrals or some cancellations, and
are these behind us, or you think this will continue to be an issue in the near term","From all what we are seeing, we think it is stabilized, but this has been so volatile, so I won't be
able to give you more color on that. It looks like these are stabilized."
hcltech,"Is this what you were
anticipating given that you've maintained the guidance and also if you could characterize the
enterprise tech spend environment, despite seasonality and the strong deal wins that you had in
the past?","it came in lower
than our own expectations. While all the large deals that we won, we really executed extremely
well. They all ramped up. They've all delivered good revenue growth as you can see in both Life
Sciences and Manufacturing verticals. And even in Financial services we've seen good growth.
Tech and telecom is where we saw more drops than what we had expected and we were
expecting some projects to go online, but towards the second half of the quarters, that did not
happen. So we did have people, we were ready and they did not really move forward. There
were a couple of instances, one Tech and Telecom. So it was disappointing for us to have that
situation, which not only declined our revenue, but it also had a big impact on our margins."
hcltech,"Just the clarity in terms of the guidance, CVK, so do
you believe the 2Q conversion of deal pipeline into deal wins will also result into a better growth
from 2Q onwards, or do you expect the growth to pick up from 3Q?","That was the commentary that I made even when we
presented the guidance. So, you should see incrementally better growth and obviously, this
means there's going to be spike in one of the quarters. So that's to be expected."
hdfcbank,"So somehow I feel on an incremental basis for the quarter, you might have lost a lot amount of market share, anything specific which affected this quarter's deposit mobilization?","There is nothing specific as such. Typically Q1 is of all the quarters is a slow quarter. Across various parameters, it's a slow quarter. So some of these factors typically contribute, but then more important is that we're confident that the building blocks that we put in place for such enormous growth remain, and confident of getting that to fruition over the next few quarters."
hdfcbank,"But apparently in the call, this time, you said it's actually grown at 18.5%. That is if I just take the retail HDFC and add the gross advances of the stand-alone entity, the number is 18.5%. What number to go by?","See, the gross bank, we put that up on page 23 of the earnings deck that we published earlier today to be helpful on that. The bank’s gross of IBPC grew by 20%. And HDFC's individual loans, the mortgage individual loans grew by 14% year-on-year. So combined just the bank loan and the individual loans because that's, these are the categories of loans that are managed for significant opportunities and growth. That's grown at 19%, 18.7%. That's a growth."
hdfcbank,"Are you confident that on a merged basis, when you deliver the September quarter results, you can sustain the current levels of ROA reported?","Yes, the level of confidence is pretty high. Typically, I think, Sashi had alluded to in some other context that we're looking at 1.9 to 2.1. That's the range at which we'll oscillate. Quarter- to-quarter, if there is a timing on certain things, particularly if there is anything that we do, we’ll be timing, but otherwise, broadly it is the 1.9 to 2.1 that he alluded to before. That is where we are confident of driving to deliver."
hdfcbank,"So the merge balance sheet has grown 13% after including everything and if you exclude IBPC then it's grown 16%. So do we -- can we see a 17%, 18% growth as we end the year? ","See, if you think about any time period, a three-year period or a five-year period typically, which we look at 2.3x, 2.4x it moves up, which indicates about 17%, 18% kind of a growth. And that's over a period of a longer term, five, three, five years' time period. But over a shorter time period, yes, somewhere we have done 15%, 16%, somewhere we have done 18%, 19%, but 17%, 18% is the kind of, our capacities are built and that is how we are gaining traction to be at that level from a consistency of growth point of view."
hdfcbank,"Would you be able to quantify the CRR and SLR of Limited, HDFC limited at the end of June?","No, see the, it starts to kick-in, I think in the next fortnight, it would start to kick-in. And we provided you the high level in terms of how we're carrying liquidity to both, to support the growth and support all the results that are required."
hdfcbank,"Obviously, Q1 has some kind of a seasonality. But given the capacities which are being built and the investment in franchise which is being done, what is the average kind of a retail deposit accretion which we can see over next six to eight-odd quarters?","what we feel, we don't give one forward looking statement, but at least I want to indicate what we have previously said, which is yes, we have built capacities to be at that kind of a level and that is where, that is when you look at it over a period of time, yes, there has been a quarter where it is lower. Again, there are seasonality, it is low, because there are times in this April to June quarter, where typically it is low because people are away, customers are away, schools are out, many things happen in this quarter. And, but our goal and our drive is to be at that kind of a level that we previously indicated, and this will come back up and where we try to drive that forward."
hdfcbank,"So INR1 trillion was the indication, so we should drive that back to INR1 trillion-odd level?","Yes, thereabouts, that's what we had indicated that that's the level at which we'd like to operate."
hdfcbank,And one last question in terms of any integration cost that would be incurred once there is a merger or there is no integration cost?,"No, there will be integration cost in the form of stamp duties and in the form of certain other costs that we will have. But they are, as we said, within reason, nothing substantial, but within reason it will be. We will call that out separately after we complete it."
hdfcbank,"So this quarter, quarter-on-quarter, your interest costs are up quite sharply, 15%. So can you help us understand where you are in terms of your term deposit rates on balance sheet versus incremental?","yes, if you look at the deposit pricing over a period of time, the SA deposits haven't moved, as you know, not just for us, in the entire market it is what it is. It is the time deposit. "
hdfcbank,Are you able to still quantify the crystallized liabilities of HDFC Limited at the time of the merger?,"Yes, the liabilities that get crystallized about INR6,36,000 crores is what is moved to the bank, that INR6,36,000 includes the deposits, which is on page 23 of the earnings deck that we showed. That includes the deposit, but INR6,36,000 crores is what is moved along with the assets."
hdfclife,"You and I-Pru have seen a good pickup in protection, so just wanted to ask how sustainable this pickup looks? What are the factors driving this now?","There are multiple elements because of which we are seeing an uptick in protection. First, we see customer demand, which we believe will be sustainable. We see this demand in HDFC Life web search, which is happening in terms of protection. The second piece is that we are now looking at higher activation of our frontline sales across all geographies in a very calibrated and product- centric approach."
hdfclife,"The broker channel has seen a doubling of the share of term. Does that include online players?
","That is right. Some of the players like PolicyBazaar are now moved from a web aggregator to a broking code. So they are reflected under the Broker channel.
"
hdfclife,"if you go back to the last call, what you have been saying is that because of the merger of the parent, the share you will end the year or you aspire to end the year at is 70% wallet share. This is a very big move from where we were last year. So obviously, you started moving in that direction this quarter, small changes in Q1, as you mentioned. What's the big change that will happen on ground for you? And do you see that playing out to up to 70%? Or it will be a little more gradual?","I'll add on to what Vibha mentioned in the first answer to Suresh. We have seen a slight increase of 0.5% to 1% in terms of our market share increase at HDFC Bank. But to your point, I think it will be gradual because it is going to be calibrated both at the Bank level as well as at our level."
hdfclife,And the second question is on EoM regulations. How do you see the commission levels? Is there some commission pressure? And how is the competitive landscape on the distribution side changing because of this?,"The reason the regulator has given us this flexibility is to say that you guys have been around for a while, please behave responsibly. And we would want to respect that ethos and not say that just because you can do much higher levels, it will be done irresponsibly.
What we might do is that some activities, which were paid for separately to the distributor, now we pay it as a fully loaded commission and tell the distributor or the partner that you guys can run those activities for us as customer outreach. Hence, I don't see any impact on the customer or the organization."
hdfclife,"We can see that in individual APE, the share of bancassurance has gone up significantly, in fact, the overall growth in bancassurance is pretty high. So how should we read this?","Nischint, Suresh, here. 3-4 points on this. One, of course, HDFC Bank has seen a fairly good growth this quarter as compared to last year. At an overall level, while our market share has inched up, they have shown fairly good growth. Second, we have obviously been supported by a lot of other large partners, whether it's YES Bank, IDFC Bank or Bandhan bank. Multiple such large partners, including many of the SFBs where we have a very strong presence, who have also helped us grow. It's not that our proprietary has not grown. Our agency business continues to do well and has also grown fairly well."
hdfclife,What kind of an impact it could probably have on the margins for you?,"On group savings, it is not hugely margin accretive. The reason we are in this business is more in terms of relationships and being in the market."
hdfclife,"if you could comment on the segmental margins in the non-par business, given the fact that some of these products have to be repriced?","It is accretive but not hugely accretive. I would say that it gives more as a bulk than anything else. And it tends to be lumpy. You are in discussions for a long time with a particular corporate or PSU and then it comes through or they have shifted from one insurer to the other. So, it tends to be seasonal. It is good, but I would not read too much into it from a margin perspective."
hdfclife,And on the segmental margins in the non-par?,"Margins are fairly similar compared to what we've had in the past, adjusting for this gap in the growth that we spoke about earlier on the call. At very high-ticket sizes, of course, volume has been impacted to some extent as expected, but it's been more than made up by the growth in the other ticket sizes where at an overall level, the average ticket size has been maintained for the segment. As a consequence of that, margins are more or less where they were earlier. There are competitive pressures as you can expect in all categories, including this one. But, we've been maintaining our pricing discipline by and large, over the period since we launched this product category, and there could be maybe a lag of a month in terms of getting back to the pricing levels that you would like, but we've been fairly disciplined about that to be able to achieve this."
hdfclife,"It's a known fact that our cost associated with HDFC Bank is relatively on the higher side. Now given the relationship changes between parent and child, then do we expect that the cost what we pay to HDFC Bank will still remain at those levels?","I think these kinds of conversations are more for the Bank. But when the Bank says parent and child, I think it subsumes many such big and small things, which will come out of these discussions, which are happening at a very regular basis. But I think it will happen because for them also to switch hats from being a Bank to a conglomerate is not even a month old."
hdfclife,have the Bank people have started sitting on the board? I just wanted to understand when the board constitution will change so that we have people from bank sitting in the Board.,"Renu Karnad, who has been the HDFC Limited nominee, today was her last day at this AGM. Her tenure is not getting renewed for now. Some of these changes are not very far off in terms of somebody from the Bank’s end coming on to our Board.
"
heromotoco,We have seen very strong bookings clearly. Can you just talk about what is the expected supply and why the bookings have been stopped currently?,"so the booking stoppage is part of the plan, the whole marketing sales strategy around it and it’s all part of that plan in terms of online booking having stopped for that. We will open the window very soon because we do want the first set of this 25,000 customers to experience the motorcycle, to experience the test ride, for them to become our brand ambassadors and of course we know that a lot of customers have been demanding for bookings to be reopened, we will soon reopen the bookings as well. "
heromotoco,And anything on the milestones for deciding further models under Harley Hero partnership?,"as you know that the model that we have launched and the segment that we have launched is one of the biggest segments in the premium, both from the revenue point of view as well as profit pool point of view. So we are focusing fully on this model as of now. But obviously there is a thinking in future to extend the portfolio and also to look at geographies, but those are discussions that we will have with our partner Harley-Davidson at an appropriate point in time."
heromotoco,"is there a breakeven level of EV volumes that we have, at which this drag will start to reduce?","As volumes go up, of course there will be economies as well, in terms of the scale economies we will get, and then a cost reduction, there is localization happening, both the factors will come into play and therefore cash burn per unit actually is going to come down in the industry if you take two, three quarters away from now. So that is what industry is working on. So it is not going to be like proportionate to that the cash burn amounts and all that will go up."
heromotoco,"Can you kindly talk about the spare sales in the quarter, what level it was and secondly why did realization?","We have been able to clock a net revenue of ₹1,210 Crores which is a growth of 14% and of course it contributes to about 14% of the revenue. What I just wanted to say is, this is a really a very good strategy and execution of the pivot that we have taken towards expansion of availability, because really what you need is in the aftermarket availability at arms length and we were able to get that. The second thing that we are doing is also adding new lines of business. So whether it is tyres or oil, there is a lot of new business that is coming in and our parts distributors and our super stockists are embracing this new way.
"
heromotoco,"So would it be fair to say that the inventory levels are lower than where they were say 6 months back, like what is the kind of inventory levels that we are looking at right now, if you can help us quantify that number?","Typically, and that is we have always given that in terms of how we look at in terms of the future. Well currently, we manage it between 6-7 weeks that’s range that we are at. We are at 6 weeks currently and that is something that is very well positioned for the festival season as we start building it up."
heromotoco,"So is there a part of it which is also because of the FAME subsidy removal or is it just a normal general investment on the EV side and where does this costs sit, if you can help us understand, like is it because the other expenses have gone up earlier are come down now. So if you can help us understand where are you, where this cost related to EV sit?","It is more on the gross margin side because we did not have a past sale, so we did not have any one-off like the other players on the subsidy withdrawal. But of course the subsidiary withdrawal has impact on the unit gross margin which is overall underlying, some price increase and some margin hit which is there. As we have guided already that around 100 bps is the investment that goes into the combination of all the cash burn that happens."
heromotoco,Is that just the mix impact as economic segment has seen a good recovery on Q-o-Q basis or there is something else also?,"It is a combination of a bit of time lag on the cost and also mix, but overall if you look at it on the trend basis which is year-on-year basis in terms of our gross margin, that remains healthy. But you are right, it is the combination of those two which moves between quarter to quarter. Overall it is something which is in a position year on year basis at a reasonably steady level."
heromotoco,"So I mean given we entered with VIDA in December and now we are in scale up mode, so how do we see scale up of VIDA over FY24?","So yes, as you heard we had announced that starting with the three cities from last year, we will be going to 100 cities this year. We are already at 36 cities and we will, well before the end of the calendar year, we will be reaching 100 cities and you all aware that we are coming out with 3 formats"
heromotoco,My second question is if you can share some thoughts on how you are seeing the urban versus rural demand in the recent month and what is the expectation for the festive season?,"Urban continues to be a strong driver and we see good momentum out there. As far as rural is concerned, I think there are some very good indications that we have got, already Niranjan has covered that - whether it is the capex that drives the income in the hands of the people, the rains that have been spread across the country and therefore how coming forward as we look to the festival season. We have seen some green shoots, as we see Super Splendor moving in, as we see Passion coming in, these are products that have a very good balance across the country."
heromotoco,"So the second question is with regard to the prolonged government agency inquiries which are happening. As shareholders, do we need to know you have to make any provisions or impact for the taxes or any of those matter? Second, whatever policy corrective actions you plan to take so that such things do not repeat?","So as far as we are concerned, we have given the commentary in the accounts as well, that we do not see a need for making any provision and whatever the information that is required by various authorities, the company continues to provide and cooperate with the authorities on this matter."
hindalco,"First on the Bay Minette cost inflation. In the last quarter’s call, we had mentioned that we are expecting some support under the US Inflation Reduction Act. Any update on that, given that we have about $200 million to $300 million of cost inflation, will it be offset by that or it will be fresh out flow?","Sure. Not a large update. We have filed our requests under 48C. We will not have clarity as to any allocations towards either the Bay Minette project or Guthrie recycling project until probably the end of this fiscal year, that is March of 2024. And in the new Capex range of 2.7 billion to 2.8 billion for Bay Minette, it does not include any such funds that we might get allocated for this project."
hindalco,"So, we have seen global coal prices falling much sharply versus our coal cost being largely stable other than e-auction coal prices. So, in that respect and with other cost deflation, what kind of cost reduction, do we expect in 2Q and where does that put us in the global cost curve for aluminum?","So, Q1 to Q4, cost came down by about 2% and Q2 to Q1, we expect to come down by a further 3%. So, most of the coal that we have been buying in the last few months, we have started to see quite a good reduction in coal prices. So, we are quite encouraged now, and we think that Q2 overall Costs is expected to go down by 3% from Q1 FY24. Now where we are on the cost front, Hindalco is very firmly in the left hand side of the first quartile. I mean if you look at our EBITDA margin of 24% in the aluminum business compared to most of our peers who have already declared, you will see that our EBITDA margins are much better than most of them."
hindalco,if you could share what was it in 1Q and how do we see it changing in the coming quarters?,"in Q1, our linkage was 41% and the e-auction was 53%. In Q2, we think that the linkage coal utilization is going to be like 57% to 60% range , which is why we are guiding that we will be cost wise down another 3% sequentially"
hindalco,"And also on the cost front, if you see international thermal coal prices back to almost two-year low versus what we are kind of guiding for next quarter when maybe on a normalized basis is still much higher versus what we were say two years ago or three years ago before the Covid era?","you have to remember went up much, much more than what domestic prices went up. International prices had gone up to $240 per ton. They have since moderated down, but it's still quite patchy."
hindalco,Is there a significant mix change in coal and change in the cost of linkage coal as well?,"You're right, are still a couple of Rs. 100 per million kilocal higher than what they were pre Covid. Now I personally believe that it's only after the captive mines that most of us in the steel and aluminum industry have got, once our captive mine starts, then only you will see the coal cost going back to those early levels. I think as long as we are participating in auctions, you are going to see ups and downs. Structurally, the this cost shall change when our own mines starts in the coming years."
